id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Find the next number in the series: 3, 6, 12, 24, ?","36","48","60","30","b","Very easy","Pattern Recognition"
2,"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?","22","24","25","26","c","Very easy","Pattern Recognition"
3,"Find the missing number in the series: 5, 10, 17, ?, 37, 50","24","26","28","30","b","Very easy","Pattern Recognition"
4,"Which number is wrong in the series: 2, 5, 10, 17, 26, 37, 50, 64?","17","26","37","64","d","Easy","Pattern Recognition"
5,"Complete the series: a, c, f, j, o, ?","u","v","t","s","a","Very easy","Pattern Recognition"
6,"Find the next term in the series: B, E, I, N, T, ?","Z","A","Y","X","a","Easy","Pattern Recognition"
7,"Complete the series: Z, X, V, T, R, ?, N","P","O","Q","S","a","Easy","Pattern Recognition"
8,"Find the next term: A1, B4, C9, D16, ?","E20","E25","F25","F36","b","Very easy","Pattern Recognition"
9,"Complete the series: 1, 8, 27, 64, 125, ?","216","225","244","256","a","Very easy","Pattern Recognition"
10,"Find the missing term: ELFA, GLHA, ILJA, ?, MLNA","KLMA","LLMA","KLLA","KLKA","c","Moderate","Pattern Recognition"
11,"Find the next number in the series: 3, 7, 15, 31, 63, ?","127","125","131","129","a","Easy","Pattern Recognition"
12,"Find the wrong number in the series: 1, 2, 4, 8, 16, 32, 64, 96","16","32","64","96","d","Easy","Pattern Recognition"
13,"Complete the series: 4, 10, ?, 82, 244, 730","24","28","30","26","b","Difficult","Pattern Recognition"
14,"Find the next term in the series: SCD, TEF, UGH, ?, WKL","VIJ","VJI","IJV","IJT","a","Moderate","Pattern Recognition"
15,"Find the next number in the series: 0, 6, 24, 60, 120, ?","180","210","240","220","b","Moderate","Pattern Recognition"
16,"Complete the series: 589654237, 89654237, 8965423, 965423, ?","65423","96542","95423","69542","b","Easy","Pattern Recognition"
1<strong>"Choose the term that completes the analogy: 42 : 56 :: 110 : ?","132","136","140","144","a","Moderate","Pattern Recognition"</strong>
18,"Find the next term: F2, ?, D8, C16, B32","A16","G4","E4","E3","c","Moderate","Pattern Recognition"
19,"Find the missing number: 1, 4, 27, 16, ?, 36, 343","25","81","125","64","c","Moderate","Pattern Recognition"
20,"Complete the series: AB, DEF, HIJK, ?, STUVWX","LMNO","LMNOP","MNOPQ","QRSTU","c","Moderate","Pattern Recognition"
21,"Find the next number in the series: 2, 3, 5, 7, 11, ?, 17","12","13","14","15","b","Easy","Pattern Recognition"
22,"Find the wrong term: 10, 26, 74, 218, 654, 1946, 5834","26","74","218","654","d","Difficult","Pattern Recognition"
23,"Complete the series: Q1F, S2E, U6D, W21C, ?","Y88B","Y66B","Y44B","Z88B","a","Difficult","Pattern Recognition"
24,"Choose the term that completes the analogy: BC : DE :: FG : ?","HI","HK","IJ","JK","a","Very easy","Pattern Recognition"
25,"Find the next number: 1, 1, 2, 3, 5, 8, 13, ?","21","22","23","24","a","Easy","Pattern Recognition"
26,"Complete the series: 2, 1, (1/2), (1/4), ?","(1/3)","(1/8)","(2/8)","(1/16)","b","Easy","Pattern Recognition"
27,"Find the next term: C, Z, F, X, I, V, L, T, O, ?, ?","P, R","Q, R","R, R","R, P","d","Difficult","Pattern Recognition"
28,"Find the missing number: 9, 12, 11, 14, 13, ?, 15","12","16","10","17","b","Easy","Pattern Recognition"
29,"Choose the term that completes the analogy: CUP : LIP :: BIRD : ?","BUSH","GRASS","FOREST","BEAK","d","Easy","Pattern Recognition"
30,"Find the next number in the series: 53, 53, 40, 40, 27, 27, ?","12","14","27","53","b","Easy","Pattern Recognition"
31,"Complete the series: B2CD, ?, BCD4, B5CD, BC6D","BC3D","B2C2D","B2C3D","BCD7","a","Moderate","Pattern Recognition"
32,"Find the next term: (2, 3), (3, 5), (5, 7), (7, 11), (11, 13), ?","(13, 15)","(13, 17)","(13, 19)","(13, 21)","b","Moderate","Pattern Recognition"
33,"Find the next number: 1, 5, 13, 25, 41, ?","51","57","61","63","c","Moderate","Pattern Recognition"
34,"Which number is wrong in the series: 3, 8, 15, 24, 34, 48, 63?","15","24","34","48","c","Moderate","Pattern Recognition"
35,"Complete the series: U, O, I, ?, A","E","C","G","B","a","Easy","Pattern Recognition"
36,"Choose the term that completes the analogy: 8 : 4 :: 10 : ?","3","7","20","5","d","Easy","Pattern Recognition"
37,"Find the next number in the series: 6, 11, 21, 36, 56, ?","42","51","81","91","c","Moderate","Pattern Recognition"
38,"Find the missing term: W-144, ?, S-100, Q-81, O-64","U-121","V-121","U-122","V-128","a","Easy","Pattern Recognition"
39,"Complete the series: 66, 36, 18, ?","3","6","8","9","c","Moderate","Pattern Recognition"
40,"Find the next term: ATTRIBUTION, TTRIBUTIO, TRIBUTI, RIBUT, ?","IBU","UT","BUT","IBUT","a","Easy","Pattern Recognition"
41,"Find the wrong number in the series: 1, 1, 2, 6, 24, 96, 720","6","24","96","720","c","Difficult","Pattern Recognition"
