id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"If a book is bought for Rs. 150 and sold for Rs. 180, what is the profit?","Rs. 20","Rs. 25","Rs. 30","Rs. 35","c","Very easy","Profit and Loss"
2,"A pen is purchased for Rs. 25 and sold for Rs. 20. Find the loss percent.","10%","15%","20%","25%","c","Very easy","Profit and Loss"
3,"The cost price of an article is Rs. 500. If it is sold at a profit of 25%, what is the selling price?","Rs. 600","Rs. 625","Rs. 650","Rs. 675","b","Very easy","Profit and Loss"
4,"A shopkeeper buys 10 apples for Rs. 100 and sells them at Rs. 12 each. What is his profit?","Rs. 10","Rs. 15","Rs. 20","Rs. 25","c","Very easy","Profit and Loss"
5,"If the selling price is Rs. 90 and the cost price is Rs. 120, find the loss percent.","20%","25%","30%","33.33%","b","Very easy","Profit and Loss"
6,"Calculate the profit percent if an item bought for Rs. 80 is sold for Rs. 100.","20%","25%","30%","15%","b","Very easy","Profit and Loss"
7,"A toy is sold for Rs. 550 at a profit of 10%. What was its cost price?","Rs. 450","Rs. 475","Rs. 500","Rs. 525","c","Easy","Profit and Loss"
8,"A man incurs a loss of 5% by selling a watch for Rs. 1140. At what price should the watch be sold to earn a 5% profit?","Rs. 1200","Rs. 1260","Rs. 1300","Rs. 1320","b","Easy","Profit and Loss"
9,"The cost price of 15 articles is equal to the selling price of 12 articles. Find the gain percent.","15%","20%","25%","30%","c","Easy","Profit and Loss"
10,"If an article is sold at a 5% gain instead of a 5% loss, a man gains Rs. 5. What is the cost price of the article?","Rs. 50","Rs. 100","Rs. 150","Rs. 45","a","Easy","Profit and Loss"
11,"A shopkeeper offers a 10% discount on an item marked at Rs. 200. What is the selling price?","Rs. 180","Rs. 190","Rs. 170","Rs. 175","a","Very easy","Profit and Loss"
12,"If a discount of 20% on the marked price of a shirt saves a man Rs. 150, how much did he pay for the shirt?","Rs. 600","Rs. 650","Rs. 700","Rs. 750","a","Easy","Profit and Loss"
13,"A man bought oranges at 6 for Rs. 20 and sold them at 4 for Rs. 18. Find his gain or loss percent.","30% loss","35% gain","35% loss","30% gain","b","Moderate","Profit and Loss"
14,"By selling an article for Rs. 72, there is a loss of 10%. In order to gain 5%, its selling price should be:","Rs. 80","Rs. 82","Rs. 84","Rs. 88","c","Easy","Profit and Loss"
15,"The marked price of a watch is Rs. 1000. A retailer buys it at Rs. 810 after getting two successive discounts. If the first discount is 10%, what is the second discount rate?","8%","9%","10%","11%","c","Moderate","Profit and Loss"
16,"A dishonest dealer professes to sell his goods at cost price, but he uses a weight of 960 g for the kg weight. Find his gain percent.","4%","4.16%","4.25%","4.5%","b","Moderate","Profit and Loss"
17,"A sells an article to B at a gain of 10%. B sells it to C at a gain of 5%. If C pays Rs. 462 for it, what did it cost A?","Rs. 380","Rs. 400","Rs. 420","Rs. 440","b","Moderate","Profit and Loss"
18,"A shopkeeper marks his goods 20% above the cost price and allows a discount of 10% on the marked price. What is his profit percent?","8%","9%","10%","12%","a","Moderate","Profit and Loss"
19,"A man sold two horses for Rs. 1980 each. On one, he gained 10%, and on the other, he lost 10%. Find his total gain or loss.","1% loss","1% gain","2% loss","No profit, no loss","a","Moderate","Profit and Loss"
20,"The profit earned by selling an article for Rs. 900 is double the loss incurred when the same article is sold for Rs. 450. At what price should the article be sold to make a 25% profit?","Rs. 600","Rs. 700","Rs. 750","Rs. 800","c","Moderate","Profit and Loss"
21,"If the cost price is 95% of the selling price, what is the profit percent?","4%","4.75%","5%","5.26%","d","Easy","Profit and Loss"
22,"A fruit seller buys lemons at 2 for a rupee and sells them at 5 for three rupees. His gain percent is:","10%","15%","20%","25%","c","Easy","Profit and Loss"
23,"A retailer buys a radio for Rs. 225. His overhead expenses are Rs. 15. He sells the radio for Rs. 300. The profit percent of the retailer is:","20%","25%","30%","35%","b","Easy","Profit and Loss"
24,"If the selling price of an article is doubled, the profit triples. Find the profit percent.","50%","75%","100%","120%","c","Difficult","Profit and Loss"
25,"A vendor loses the selling price of 4 oranges on selling 36 oranges. His loss percent is:","10%","11.11%","12.5%","9.09%","a","Moderate","Profit and Loss"
26,"A shopkeeper cheats to the extent of 10% while buying and 10% while selling, by using false weights. His total gain is:","20%","21%","22%","22.5%","b","Moderate","Profit and Loss"
27,"After allowing a discount of 12% on the marked price of an article, it is sold for Rs. 880. Find its marked price.","Rs. 900","Rs. 950","Rs. 1000","Rs. 1050","c","Easy","Profit and Loss"
28,"A tradesman marks his goods at such a price that after allowing a discount of 15%, he makes a profit of 20%. What is the marked price of an article whose cost price is Rs. 170?","Rs. 220","Rs. 240","Rs. 260","Rs. 280","b","Moderate","Profit and Loss"
