id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Find the next number in the series: 2, 5, 10, 17, 26, ?","35","37","39","41","b","Very easy","Number Series"
2,"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?","7","10","12","13","b","Very easy","Number Series"
3,"If 'APPLE' is coded as 'BQQMF', how is 'ORANGE' coded?","PSBOHF","PSBOHE","PSAHGE","PSBOGF","a","Very easy","Coding-Decoding"
4,"In a certain code, 'ROAD' is written as 'URDG'. How is 'SWAN' written in that code?","VXDQ","VZDQ","VXDQ","VZCQ","b","Very easy","Coding-Decoding"
5,"Pointing to a photograph, a man said, 'I have no brother or sister, but that man's father is my father's son.' Whose photograph was it?","His own","His son's","His father's","His nephew's","b","Easy","Blood Relations"
6,"A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D?","Grandfather","Grandmother","Daughter","Granddaughter","d","Easy","Blood Relations"
7,"Ravi walks 10 km North. Then he turns left and walks 4 km. He again turns left and walks 10 km. How far is he from his starting point?","4 km","6 km","10 km","14 km","a","Very easy","Direction Sense"
8,"Statement: All cats are animals. Statement: All tigers are animals. Conclusion: All cats are tigers.","True","False","Cannot be determined","None of the above","c","Easy","Syllogism"
9,"Find the odd one out: Lion, Tiger, Leopard, Cow","Lion","Tiger","Leopard","Cow","d","Very easy","Classification"
10,"Arrange the words in a meaningful order: 1. Police, 2. Punishment, 3. Crime, 4. Judge, 5. Judgment","3,1,4,5,2","3,1,2,4,5","1,2,3,4,5","3,1,5,2,4","a","Easy","Logical Sequence"
11,"Find the missing number: 8, 27, 64, ?, 216","100","125","150","175","b","Easy","Number Series"
12,"If 'WATER' is coded as 'YCVGT', what is 'HKTG' the code for?","FIRE","FAIR","FEAR","FOUR","a","Moderate","Coding-Decoding"
13,"P is the brother of Q. R is the mother of Q. S is the father of R. How is S related to P?","Grandfather","Maternal Grandfather","Father","Uncle","b","Moderate","Blood Relations"
14,"A man faces west. He turns 45 degrees clockwise, then another 180 degrees clockwise, then 270 degrees anti-clockwise. Which direction is he facing now?","South-West","South-East","North-West","North-East","a","Moderate","Direction Sense"
15,"Statements: 1. All pens are pencils. 2. No pencil is a marker. Conclusions: I. No pen is a marker. II. Some markers are pencils.","Only I follows","Only II follows","Both follow","Neither follows","a","Moderate","Syllogism"
16,"Which word does NOT belong with the others?","Book","Page","Chapter","Index","a","Easy","Classification"
17,"Find the next term in the series: B2D, E3H, I4L, ?","N5P","M5Q","M5P","N5R","c","Moderate","Alpha-Numeric Series"
18,"If '+' means '÷', '−' means '×', '×' means '+', and '÷' means '−', what is the value of 48 + 12 - 3 × 6 ÷ 4?","10","12","14","16","c","Easy","Mathematical Operations"
19,"Deepak is the brother of Ravi. Rekha is the sister of Atul. Ravi is the son of Rekha. How is Deepak related to Rekha?","Son","Brother","Nephew","Father","a","Easy","Blood Relations"
20,"From his house, Lokesh went 15 km to the North. Then he turned West and covered 10 km. Then he turned South and covered 5 km. Finally, turning to East, he covered 10 km. In which direction is he from his house?","East","West","North","South","c","Easy","Direction Sense"
21,"Statements: 1. Some actors are singers. 2. All singers are dancers. Conclusions: I. Some actors are dancers. II. No singer is an actor.","Only I follows","Only II follows","Either I or II follows","Neither I nor II follows","a","Moderate","Syllogism"
22,"If Z=52 and ACT=48, then BAT will be equal to?","42","44","46","48","c","Moderate","Coding-Decoding"
23,"Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?","12","14","27","53","b","Easy","Number Series"
24,"A, B, C, D and E are sitting in a row. A is to the immediate right of B, and E is at the left end. C is on the immediate left of D, and A is between B and D. Who is in the middle?","A","B","C","D","d","Moderate","Seating Arrangement"
25,"Find the odd one out: Deck, Quaver, Stern, Bow","Quaver","Deck","Stern","Bow","a","Difficult","Classification"
26,"Find the next term in the series: 1, 1, 2, 6, 24, ?, 720","100","108","120","124","c","Difficult","Number Series"
27,"In a certain code, 'TRIPPLE' is written as 'SQHOOKD'. How is 'DISPOSE' written in that code?","CHRONRD","CHROORD","ESJTPTF","ESJTPTE","a","Moderate","Coding-Decoding"
28,"If M is the sister of Z, Z is the wife of P, and P is the son of A, how is Z related to A?","Daughter-in-law","Daughter","Wife","Mother","a","Easy","Blood Relations"
29,"A river flows west to east and on the way turns left and goes in a semi-circle round a hillock, and then turns left at right angles. In which direction is the river finally flowing?","West","East","North","South","d","Moderate","Direction Sense"
30,"Statements: 1. All buildings are houses. 2. No house is an apartment. Conclusions: I. No building is an apartment. II. All houses are buildings.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Moderate","Syllogism"
31,"What is the number of triangles in the given figure? (Assume a standard 5-pointed star).","5","6","8","10","d","Difficult","Figure Counting"
32,"If 'sky' is 'star', 'star' is 'cloud', 'cloud' is 'earth', 'earth' is 'tree', and 'tree' is 'book', where do the birds fly?","Cloud","Star","Sky","Earth","b","Easy","Coding-Decoding"
33,"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:","145°","150°","155°","160°","c","Moderate","Clocks"
34,"A group of 1200 persons consisting of captains and soldiers is travelling in a train. For every 15 soldiers there is one captain. The number of captains in the group is:","70","75","80","85","b","Easy","Logical Puzzles"
35,"In a row of boys, if A who is 10th from the left and B who is 9th from the right interchange their positions, A becomes 15th from the left. How many boys are there in the row?","23","27","28","31","a","Moderate","Ranking"
36,"Find the next number: 4, 10, ?, 82, 244, 730","24","28","30","26","b","Difficult","Number Series"
37,"In a code, '256' means 'you are good', '637' means 'we are bad', '358' means 'good and bad'. Which digit represents 'and'?","2","5","8","3","c","Easy","Coding-Decoding"
38,"Introducing a man, a woman said, 'His wife is the only daughter of my father.' How is that man related to the woman?","Husband","Brother","Father-in-law","Uncle","a","Easy","Blood Relations"
39,"If South-East becomes North, North-East becomes West and so on. What will West become?","North-East","North-West","South-East","South-West","c","Moderate","Direction Sense"
40,"Statements: 1. Some papers are pens. 2. All pencils are pens. Conclusions: I. Some pens are pencils. II. Some pens are papers.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","c","Moderate","Syllogism"
41,"If 1st October is Sunday, then 1st November will be:","Monday","Tuesday","Wednesday","Thursday","c","Easy","Calendar"
42,"At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?","45 min. past 4","40 min. past 4","50 4/11 min. past 4","54 6/11 min. past 4","d","Difficult","Clocks"
43,"A is 3 years older than B and 3 years younger than C, while B and D are twins. How many years older is C than D?","2","3","6","9","c","Moderate","Logical Puzzles"
44,"The day before yesterday was Saturday. What day will it be the day after tomorrow?","Tuesday","Wednesday","Thursday","Friday","b","Very easy","Calendar"
45,"If A+B means A is the brother of B; A-B means A is the sister of B; and A x B means A is the father of B. Which of the following means that C is the son of M?","M - N x C + F","F - C + N x M","M x N - C + F","M + N - C x F","c","Difficult","Blood Relations"
46,"Find the next term: 1, 2, 4, 8, 16, ?","20","24","30","32","d","Very easy","Number Series"
47,"If 'DOCTOR' is written as 'FPEVQT', how can 'LAWYER' be written?","NCYAGP","NCYAGT","NCYAGS","NCYAGR","d","Moderate","Coding-Decoding"
