id,question,a,b,c,d,answer,difficulty
1,"What is 15% of 240?",24,36,48,54,b,easy
2,"If a train travels 60 km/h for 3 hours, what distance does it cover?",120 km,150 km,180 km,200 km,c,very easy
3,"A shopkeeper marks up his goods by 25% and then gives a discount of 10%. What is his net profit percentage?",12.5%,15%,18%,22.5%,a,moderate
4,"Find the compound interest on Rs. 8000 at 15% per annum for 2 years.",Rs. 2340,Rs. 2520,Rs. 2640,Rs. 2760,b,difficult
5,"In how many ways can 5 people be arranged in a row?",60,120,240,360,b,moderate
6,"What is the value of (2^3 × 3^2) ÷ 4?",18,24,36,48,a,easy
7,"If the ratio of two numbers is 3:4 and their sum is 84, what is the larger number?",36,42,48,54,c,moderate
8,"A car depreciates by 20% each year. If its initial value is Rs. 100000, what will be its value after 2 years?",Rs. 64000,Rs. 68000,Rs. 72000,Rs. 80000,a,difficult
9,"Find the area of a triangle with base 12 cm and height 8 cm.",36 sq cm,48 sq cm,56 sq cm,64 sq cm,b,very easy
10,"What is 30% of 150?",35,40,45,50,c,easy
