id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"If a : b = 3 : 4 and b : c = 8 : 9, then a : c is:","1 : 2","3 : 2","2 : 3","1 : 3","c","Very easy","Ratio and Proportion"
2,"Find the fourth proportional to 4, 9, 12.","18","21","24","27","d","Very easy","Ratio and Proportion"
3,"If x : y = 5 : 2, then what is the value of (8x + 9y) : (8x + 2y)?","22 : 29","26 : 61","29 : 22","61 : 26","c","Easy","Ratio and Proportion"
4,"Two numbers are in the ratio 3 : 5. If 9 is subtracted from each, the new numbers are in the ratio 12 : 23. The smaller number is:","27","33","49","55","b","Easy","Ratio and Proportion"
5,"What must be added to each term of the ratio 7 : 13 so that the ratio becomes 2 : 3?","1","2","3","5","d","Easy","Ratio and Proportion"
6,"The salaries of A, B, and C are in the ratio 2 : 3 : 5. If the increments of 15%, 10% and 20% are allowed respectively in their salaries, then what will be the new ratio of their salaries?","3 : 3 : 10","10 : 11 : 20","23 : 33 : 60","Cannot be determined","c","Moderate","Ratio and Proportion"
7,"A sum of Rs. 312 was divided among 100 boys and girls in such a way that each boy gets Rs. 3.60 and each girl Rs. 2.40. The number of girls is:","35","40","45","50","b","Moderate","Ratio and Proportion"
8,"A bag contains 50p, 25p and 10p coins in the ratio 5 : 9 : 4, amounting to Rs. 206. Find the number of 50p coins.","150","180","200","220","c","Moderate","Ratio and Proportion"
9,"If 15 men can complete a work in 16 days, in how many days will 24 men complete the same work?","8 days","10 days","12 days","14 days","b","Very easy","Ratio and Proportion"
10,"The ratio of the ages of two students is 3 : 2. One is older than the other by 5 years. What is the age of the younger student?","10 years","12 years","15 years","8 years","a","Easy","Ratio and Proportion"
11,"Find the mean proportional between 7 and 63.","14","18","21","28","c","Very easy","Ratio and Proportion"
12,"If A : B = 1/2 : 1/3 and B : C = 1/5 : 1/3, then (A + B) : (B + C) is equal to:","15 : 16","9 : 10","6 : 5","5 : 4","a","Moderate","Ratio and Proportion"
13,"In a mixture of 60 litres, the ratio of milk and water is 2 : 1. If this ratio is to be 1 : 2, then the quantity of water to be further added is:","20 litres","30 litres","40 litres","60 litres","d","Moderate","Ratio and Proportion"
14,"Seats for Mathematics, Physics and Biology in a school are in the ratio 5 : 7 : 8. There is a proposal to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats?","2 : 3 : 4","6 : 7 : 8","6 : 8 : 9","None of these","a","Moderate","Ratio and Proportion"
15,"Rs. 700 is divided among A, B, C in such a way that the ratio of the amounts of A and B is 2 : 3 and that of B and C is 4 : 5. Find the amount C receives.","Rs. 240","Rs. 300","Rs. 320","Rs. 360","b","Easy","Ratio and Proportion"
16,"The third proportional to 16 and 36 is:","64","81","92","108","b","Easy","Ratio and Proportion"
17,"If 2A = 3B = 4C, then A : B : C is:","2 : 3 : 4","4 : 3 : 2","6 : 4 : 3","3 : 4 : 6","c","Easy","Ratio and Proportion"
18,"The sum of three numbers is 98. If the ratio of the first to the second is 2 : 3 and that of the second to the third is 5 : 8, then the second number is:","20","30","48","58","b","Moderate","Ratio and Proportion"
19,"A and B started a business with investments of Rs. 3000 and Rs. 4000 respectively. Find the share of A in a profit of Rs. 2100 after one year.","Rs. 900","Rs. 1000","Rs. 1100","Rs. 1200","a","Easy","Ratio and Proportion"
20,"If 40% of a number is equal to two-third of another number, what is the ratio of the first number to the second number?","2 : 5","3 : 7","5 : 3","7 : 3","c","Easy","Ratio and Proportion"
21,"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage increase in the number of boys and girls be 20% and 10% respectively, what will be the new ratio?","8 : 9","17 : 18","21 : 22","Cannot be determined","c","Moderate","Ratio and Proportion"
22,"In a bag, there are coins of 25p, 10p and 5p in the ratio 1 : 2 : 3. If there are Rs. 30 in all, how many 5p coins are there?","50","100","150","200","c","Moderate","Ratio and Proportion"
23,"A dog takes 3 leaps for every 5 leaps of a hare. If one leap of the dog is equal to 3 leaps of the hare, the ratio of the speed of the dog to that of the hare is:","9 : 5","8 : 5","7 : 5","6 : 5","a","Difficult","Ratio and Proportion"
